Quiero recomendaciones de comida
"Que tipo de restaurante le apetece? Conozco:Restauranes italianos, mariscos, de cortes de carne, comida china, comida Rapida"
Que puedo comer
"Que tipo de restaurante le apetece? Conozco:Restauranes italianos, mariscos, de cortes de carne, comida china, comida Rapida"
Recomendaciones de comida
"Que tipo de restaurante le apetece? Conozco:Restauranes italianos, mariscos, de cortes de carne, comida china, comida Rapida"
Donde se puede comer en Hermosillo?
"Que tipo de restaurante le apetece? Conozco:Restauranes italianos, mariscos, de cortes de carne, comida china, comida Rapida"
Que restaurantes conoces?
"Que tipo de restaurante le apetece? Conozco:Restauranes italianos, mariscos, de cortes de carne, comida china, comida Rapida"
Ayuda, no se a donde ir a comer
"Cual es el horario Santo Olivo?"
"desconozco el horario de Santo Olivo",
"Horario de Santo Olivo:",
"NO conozco el horario de Santo Olivo",
"telefono de Santo Olivo",
"Teléfono de Santo Olivo: +52 662 264 8581",
"Donde queda Swiss Haus?",
"Dr. Paliza 62 Colonia Centenario, Hermosillo 83260 México",
"Dirección de Swiss Haus",
"Dr. Paliza 62 Colonia Centenario, Hermosillo 83260 México",
"Donde está Swiss Haus?",
"Dr. Paliza 62 Colonia Centenario, Hermosillo 83260 México",
"Que venden Swiss Haus",
"Aquí tienes el menú de Swiss Haus:http://www.swisshaus.com.mx/#menu",
"Menu del Swiss Haus",
"Aquí tienes el menú de Swiss Haus:http://www.swisshaus.com.mx/#menu",
"Cual es el horario Swiss Haus?"
"Horario Swiss Haus: Abierto de Martes a Sabado de 7:00 AM - 11:30 PM | Lunes de 8:00 AM - 4:30 PM | Domingos de 1:00 PM - 5:00 PM",
"Horario de Swiss Haus:",
"Horario Swiss Haus: Abierto de Martes a Sabado de 7:00 AM - 11:30 PM | Lunes de 8:00 AM - 4:30 PM | Domingos de 1:00 PM - 5:00 PM",
"telefono de Swiss Haus",
"Teléfono de Swiss Haus: +52 662 217 5040",
"Donde puedo tomar alchol?",
"En Hermosilo podrías ir a los siguientes Bares: La biblioteca",
"Bares de Hermosillo",
"En Hermosilo podrías ir a los siguientes Bares: La biblioteca",
"Donde se puede tomar?",
"En Hermosilo podrías ir a los siguientes Bares: La biblioteca",
"Lugares con cerveza",
"En Hermosilo podrías ir a los siguientes Bares: La biblioteca",
"Quiero tomar cheve",
"En Hermosilo podrías ir a los siguientes Bares: La biblioteca",
"Donde queda La biblioteca?",
"Calle Av. Rosales SN-SESCUELA, 83000 Hermosillo, Sonora",
"Dirección de La biblioteca",
"Calle Av. Rosales SN-SESCUELA, 83000 Hermosillo, Sonora",
"Donde está La biblioteca?",
"Calle Av. Rosales SN-SESCUELA, 83000 Hermosillo, Sonora",
"Que venden La biblioteca",
"La biblioteca vende:https://es.restaurantguru.com/La-Biblioteca-Hermosillo/menu",
"Menu del La biblioteca",
"La biblioteca vende:https://es.restaurantguru.com/La-Biblioteca-Hermosillo/menu",
"Cual es el horario La biblioteca?"
"desconozco el horario de la biblioteca...",
"Horario de La biblioteca:",
"desconozco el horario de la biblioteca...",
"telefono de La biblioteca",
"Teléfono de La biblioteca: 662 212 1750",
"Donde puedo comer mariscos?",
"En Hermosilo podrías ir a los siguientes restaurantes de cortes: Mariscos Alfreditos, Mariscos el Rudy", La Cura HMO
"Lugares para comer mariscos",
"En Hermosilo podrías ir a los siguientes restaurantes de cortes: Mariscos Alfreditos, Mariscos el Rudy", La Cura HMO
"Quiero comer pescado",
"En Hermosilo podrías ir a los siguientes restaurantes de cortes: Mariscos Alfreditos, Mariscos el Rudy", La Cura HMO
"Donde queda Mariscos Alfreditos?",
"Boulevard Guillermo Prieto No 22 Entre Blvd Morelos y Gomez Farias, Hermosillo 83150 México",
"Direccion Mariscos Alfreditos",
"Boulevard Guillermo Prieto No 22 Entre Blvd Morelos y Gomez Farias, Hermosillo 83150 México",
"Donde esta el Mariscos Alfreditos?",
"Boulevard Guillermo Prieto No 22 Entre Blvd Morelos y Gomez Farias, Hermosillo 83150 México",
"Que venden en el Mariscos Alfreditos",
"Aquí puedes ver la comida de Mariscos Alfreditos: https://www.tripadvisor.com.mx/Restaurant_Review-g153979-d6451377-Reviews-Mariscos_Alfreditos-Hermosillo_Northern_Mexico.html",
"Menu del Mariscos Alfreditos",
"Aquí puedes ver la comida de Mariscos Alfreditos: https://www.tripadvisor.com.mx/Restaurant_Review-g153979-d6451377-Reviews-Mariscos_Alfreditos-Hermosillo_Northern_Mexico.html",
"Cual es el horario de Mariscos Alfreditos?"
"Horario Mariscos Alfreditos: Abierto de Martes a Sabado de 11:00 AM - 12:00 AM | Domingo a Lunes de 11:00 AM - 10:00 PM",
"Horario Mariscos Alfreditos:",
"Horario Mariscos Alfreditos: Abierto de Martes a Sabado de 11:00 AM - 12:00 AM | Domingo a Lunes de 11:00 AM - 10:00 PM",
"Telefono de Mariscos Alfreditos",
"Teléfono del Mariscos Alfreditos: +52 662 210 3514",
"Donde queda Mariscos el Rudy?",
"Blvd. Progreso Enseguida Del Little Cesars, Hermosillo México",
"Direccion Mariscos el Rudy",
"Blvd. Progreso Enseguida Del Little Cesars, Hermosillo México",
"Donde esta el Mariscos el Rudy?",
"Blvd. Progreso Enseguida Del Little Cesars, Hermosillo México",
"Que venden en el Mariscos el Rudy",
"No pude encontrar el menu de Mariscos el Rudy",
"Menu del Mariscos el Rudy",
"Desconozco el menu de Mariscos el Rudy",
"Cual es el horario de Mariscos el Rudy?"
"Horario Mariscos el Rudy: Abierto toda la semana de 10:00 AM - 6:00 PM",
"Horario Mariscos el Rudy:",
"Horario Mariscos el Rudy: Abierto toda la semana de 10:00 AM - 6:00 PM",
"Telefono de Mariscos el Rudy",
"Desconozco el telefono de Mariscos el Rudy",
"Donde queda La Cura HMO?",
"Avenida Veracruz 77 Colonia 5 de Mayo, Hermosillo 83190 México",
"Direccion La Cura HMO",
"Avenida Veracruz 77 Colonia 5 de Mayo, Hermosillo 83190 México",
"Donde esta el La Cura HMO?",
"Avenida Veracruz 77 Colonia 5 de Mayo, Hermosillo 83190 México",
"Que venden en el La Cura HMO",
"Aquí tienes el menú del La Cura HMO:https://www.facebook.com/LaCuraHMO/menu",
"Menu del La Cura HMO",
"Aquí tienes el menú del La Cura HMO: https://www.facebook.com/LaCuraHMO/menu",
"Cual es el horario de La Cura HMO?"
"Horario La Cura HMO: abierto toda la semana de 9:00 AM a 5:00 PM",
"Horario La Cura HMO:",
"Horario La Cura HMO: abierto toda la semana de 9:00 AM a 5:00 PM",
"Telefono de La Cura HMO",
"Teléfono del La Cura HMO: +52 662 310 7625",
"Donde puedo comer comida rapida?",
"En Hermosilo podrías ir a los siguientes restaurantes de cortes: Keburros,los dogos el Miami",
"Lugares de comida corrida",
"En Hermosilo podrías ir a los siguientes restaurantes de cortes: Keburros,los dogos el Miami",
"Restaurantes callejeros",
"En Hermosilo podrías ir a los siguientes restaurantes de cortes: Keburros,los dogos el Miami",
"Restaurantes de comida rapida",
"En Hermosilo podrías ir a los siguientes restaurantes de cortes: Keburros,los dogos el Miami",
"Donde queda Keburros?",
"Av Luis Donaldo Colosio 413, Enseguida de la Benavides., 83200 Hermosillo ",
"Direccion Keburros",
"Av Luis Donaldo Colosio 413, Enseguida de la Benavides., 83200 Hermosillo ",
"Donde esta el Keburros?",
"Av Luis Donaldo Colosio 413, Enseguida de la Benavides., 83200 Hermosillo ",
"Que venden en el Keburros",
"Aquí puedes encontrar el menú del Keburros: https://www.keburros.com/#!/",
"Menu del Keburros",
"Aquí tienes el menú del Keburros: https://www.keburros.com/#!/",
"Cual es el horario de Keburros?"
"Desconozco el horario de Keburros",
"Horario Keburros:",
"No conozco el horario de Keburros",
"Telefono de Keburros",
"Teléfono del Keburros: +52 662 218 1718",
"Donde queda Los dogos el Miami?",
"Avenida Luis Donaldo Colosio 579, 83249 Hermosillo",
"Direccion Los dogos el Miami",
"Avenida Luis Donaldo Colosio 579, 83249 Hermosillo",
"Donde esta el Los dogos el Miami?",
"Avenida Luis Donaldo Colosio 579, 83249 Hermosillo",
"Que venden en el Los dogos el Miami",
"Puedes ver lo que venden en su pagina de facebook: https://www.facebook.com/DOGOS-DEL-MIAMI-542000659263711/",
"Menu del Los dogos el Miami",
"Actualizan el menu en sus publicaciones de facebook:https://www.facebook.com/DOGOS-DEL-MIAMI-542000659263711/",
"Cual es el horario de Los dogos el Miami?"
"Horario Los dogos el Miami: Abierto toda la semana de 6:00 PM a 4:00 AM",
"Horario Los dogos el Miami:",
"Horario Los dogos el Miami: Abierto toda la semana de 6:00 PM a 4:00 AM",
"Telefono de Los dogos el Miami",
"Teléfono del Los dogos el Miami:662 120 6077",
"Donde puedo comer un corte de carne?",
"En Hermosilo podrías ir a los siguientes restaurantes de cortes: Sonora Steak House, Palominos, Mochomos",
"Lugares para comer cortes de carne",
"En Hermosilo podrías ir a los siguientes restaurantes de cortes: Sonora Steak House, Palominos, Mochomos",
"Restaurantes de cortes de carne",
"En Hermosilo podrías ir a los siguientes restaurantes de cortes: Sonora Steak House, Palominos, Mochomos",
"Donde queda Sonora Steak?",
"Blvd. Eusebio kino No.914 Col. Pitic, zona hotelera, Hermosillo, Son. Tel: 2 10 03 13  ó  2 10 88 30. Abierto de 12:00 Pm - 2:00 Am",
"Direccion Sonora Steak",
"Blvd. Eusebio kino No.914 Col. Pitic, zona hotelera, Hermosillo, Son. Tel: 2 10 03 13  ó  2 10 88 30. Abierto de 12:00 Pm - 2:00 Am",
"Donde esta el Sonora Steak?",
"Blvd. Eusebio kino No.914 Col. Pitic, zona hotelera, Hermosillo, Son. Tel: 2 10 03 13  ó  2 10 88 30. Abierto de 12:00 Pm - 2:00 Am",
"Que venden en el Sonora Steak",
"Aquí tienes el menú del Sonora Steak: http://www.sonorasteakhouse.com/menu.php",
"Menu del Sonora Steak",
"Aquí tienes el menú del Sonora Steak: http://www.sonorasteakhouse.com/menu.php",
"Cual es el horario de Sonora Steak?"
"Horario Sonora Steak: Abierto de Lunes a Sábado de 12:00 PM - 2:00 AM | Domingo de 1:00 PM - 11:00 PM",
"Horario Sonora Steak:",
"Horario Sonora Steak: Abierto de Lunes a Sábado de 12:00 PM - 2:00 AM | Domingo de 1:00 PM - 11:00 PM",
"Telefono de Sonora Steak",
"Teléfono del Sonora Steak: 2 10 03 13  ó  2 10 88 30",
"Donde queda el Palominos?",
"Tiene dos sucursales: - Blvd. Eusebio Francisco Kino #908-A. Col. Pitic. 66 2436 1003 Abierto de 12:00 Pm - 12:00 Am
- Paseo Río Sonora y Galeana 72, Col. Villa de Seris. 662 212 2700 Abierto de 1:00 Pm - 12:00 Am",
"Dirección de Palominos",
"Tiene dos sucursales: - Blvd. Eusebio Francisco Kino #908-A. Col. Pitic. 66 2436 1003 Abierto de 12:00 Pm - 12:00 Am
- Paseo Río Sonora y Galeana 72, Col. Villa de Seris. 662 212 2700 Abierto de 1:00 Pm - 12:00 Am",
"Donde está el Palominos?",
"Tiene dos sucursales: - Blvd. Eusebio Francisco Kino #908-A. Col. Pitic. 66 2436 1003 Abierto de 12:00 Pm - 12:00 Am
- Paseo Río Sonora y Galeana 72, Col. Villa de Seris. 662 212 2700 Abierto de 1:00 Pm - 12:00 Am",
"Que venden en Palominos?",
"Aquí tienes el menú de Restaurante Palominos: https://restaurantpalominos.mx/menu/",
"Menu de Palominos",
"Aquí tienes el menú de Restaurante Palominos: https://restaurantpalominos.mx/menu/",
"Cual es el horario de Palominos?"
"Horario Palominos: Abierto de Lunes a Miércoles de 12:00 PM - 12:00 AM | Jueves a Sábado de 12:00 PM - 2:00 AM | Domingo de 12:00 PM - 7:00 PM",
"Horario de Palominos:",
"Horario Palominos: Abierto de Lunes a Miércoles de 12:00 PM - 12:00 AM | Jueves a Sábado de 12:00 PM - 2:00 AM | Domingo de 12:00 PM - 7:00 PM",
"Telefono de Palominos",
"Teléfono de Palominos: Sucursal Kino 66 2436 1003 ó Paseo Rio Sonora 662 212 2700",
"Donde queda Mochomos?",
"Blvd. Morelos no. 647 | Col. Colinas del Bachoco 83104 Hermosillo, Sonora (662) 211.2177 Abierto de Lunes a Sábado de 12:00 PM - 2:00 AM | Domingo de 12:00 PM - 7:00 PM",
"Dirección de Mochomos",
"Blvd. Morelos no. 647 | Col. Colinas del Bachoco 83104 Hermosillo, Sonora (662) 211.2177 Abierto de Lunes a Sábado de 12:00 PM - 2:00 AM | Domingo de 12:00 PM - 7:00 PM",
"Donde está el Mochomos?",
"Blvd. Morelos no. 647 | Col. Colinas del Bachoco 83104 Hermosillo, Sonora (662) 211.2177 Abierto de Lunes a Sábado de 12:00 PM - 2:00 AM | Domingo de 12:00 PM - 7:00 PM",
"Que venden en Mochomos?",
"Aquí tienes el menú de Restaurante Mochomos: https://www.mochomos.mx/index2.php#menu",
"Menu de Mochomos",
"Aquí tienes el menú de Restaurante Mochomos: https://www.mochomos.mx/index2.php#menu",
"Cual es el horario de Mochomos?"
"Horario Mochomos: Abierto de Lunes a Sábado de 12:00 PM - 2:00 AM | Domingo de 12:00 PM - 7:00 PM",
"Horario de Mochomos:",
"Horario Mochomos: Abierto de Lunes a Sábado de 12:00 PM - 2:00 AM | Domingo de 12:00 PM - 7:00 PM",
"Telefono de Mochomos",
"Teléfono de Mochomos: (662) 211.2177",
"Donde puedo comer comida china?",
"En Hermosilo podrías ir a los siguientes restaurantes de comida china: La Gran Muralla, Oriental Express, Chinaloa, Mei Wei",
"Lugares de comida china",
"En Hermosilo podrías ir a los siguientes restaurantes de comida china: La Gran Muralla, Oriental Express, Chinaloa, Mei Wei",
"Restaurantes de comida china",
"En Hermosilo podrías ir a los siguientes restaurantes de comida china: La Gran Muralla, Oriental Express, Chinaloa, Mei Wei",
"Comer comida china",
"En Hermosilo podrías ir a los siguientes restaurantes de comida china: La Gran Muralla, Oriental Express, Chinaloa, Mei Wei",
"Donde queda la gran muralla?",
"Calle Benito Juárez 106, Centro, 83000 Hermosillo, Son. 662 217 0213",
"Dirección de la gran muralla",
"Calle Benito Juárez 106, Centro, 83000 Hermosillo, Son. 662 217 0213",
"Donde está la gran muralla?",
"Calle Benito Juárez 106, Centro, 83000 Hermosillo, Son. 662 217 0213",
"Cual es el horario de la gran muralla?"
"Horario La Gran Muralla: Abierto de Jueves a Lunes de 12:00 PM - 8:00 PM | Martes y Miércoles de 12:00 PM - 7:00 PM",
"Horario de la gran muralla:",
"Horario La Gran Muralla: Abierto de Jueves a Lunes de 12:00 PM - 8:00 PM | Martes y Miércoles de 12:00 PM - 7:00 PM",
"telefono de la gran muralla",
"Teléfono de la Gran Muralla: 662 217 0213",
"Donde queda Mei Wei?",
"Av Aquiles Serdán 105, Centro, 83000 Hermosillo, Son. 662 460 8781",
"Dirección de Mei Wei",
"Av Aquiles Serdán 105, Centro, 83000 Hermosillo, Son. 662 460 8781",
"Donde está Mei Wei?",
"Av Aquiles Serdán 105, Centro, 83000 Hermosillo, Son. 662 460 8781",
"Cual es el horario de Mei Wei?"
"Horario Mei Wei: Abierto de Lunes a Sábado de 12:30 PM - 6:00 PM | Domingo de 12:30 PM - 7:30 PM",
"Horario de Mei Wei:",
"Horario Mei Wei: Abierto de Lunes a Sábado de 12:30 PM - 6:00 PM | Domingo de 12:30 PM - 7:30 PM",
"telefono de Mei Wei",
"Teléfono de Mei Wei: 662 460 8781",
"Donde queda el Chinaloa?",
"Av. Morelia 18, Centro, 83000 Hermosillo, Son. 662 212 0661",
"Dirección de Chinaloa",
"Av. Morelia 18, Centro, 83000 Hermosillo, Son. 662 212 0661",
"Donde está Chinaloa?",
"Av. Morelia 18, Centro, 83000 Hermosillo, Son. 662 212 0661",
"Cual es el horario de Chinaloa?"
"Horario Chinaloa: Abierto de Lunes a Domingo de 9:00 AM - 8:00 PM ",
"Horario de Chinaloa:",
"Horario Chinaloa: Abierto de Lunes a Domingo de 9:00 AM - 8:00 PM ",
"telefono de Chinaloa",
"Teléfono de Chinaloa: 662 212 0661",
"Donde queda el Oriental Express?",
"Periferico Norte 515 Esq, Gustavo F. Muñoz, Luis Encinas, 83138 Hermosillo, Son. 662 367 9503",
"Dirección de Oriental Express",
"Periferico Norte 515 Esq, Gustavo F. Muñoz, Luis Encinas, 83138 Hermosillo, Son. 662 367 9503",
"Donde está Oriental Express?",
"Periferico Norte 515 Esq, Gustavo F. Muñoz, Luis Encinas, 83138 Hermosillo, Son. 662 367 9503",
"Cual es el horario de Oriental Express?"
"Horario Oriental Express: Abierto de Lunes a Domingo de 11:00 AM - 8:00 PM ",
"Horario de Oriental Express:",
"Horario Oriental Express: Abierto de Lunes a Domingo de 11:00 AM - 8:00 PM ",
"telefono de Oriental Express",
"Teléfono de Oriental Express: 662 367 9503",
